TAG,Counter,Num_Range,Range
CELL_136,559,1,[ 2017-11-23 09:12:12 ~ 2017-11-23 19:04:40;  ]
CELL_133,283,4,[ 2017-11-23 09:09:40 ~ 2017-11-23 10:53:38; 2017-11-23 12:00:09 ~ 2017-11-23 12:13:14; 2017-11-23 17:00:21 ~ 2017-11-23 17:48:45; 2017-11-23 18:54:46 ~ 2017-11-23 19:07:45;  ]
CELL_1,116,2,[ 2017-11-23 00:04:32 ~ 2017-11-23 08:02:34; 2017-11-23 20:06:41 ~ 2017-11-23 23:01:27;  ]
CELL_141,103,1,[ 2017-11-23 09:53:43 ~ 2017-11-23 16:57:18;  ]
CELL_132,50,4,[ 2017-11-23 09:08:37 ~ 2017-11-23 14:51:37; 2017-11-23 16:28:19 ~ 2017-11-23 16:33:53; 2017-11-23 17:42:27 ~ 2017-11-23 17:44:55; 2017-11-23 18:59:39 ~ 2017-11-23 19:00:02;  ]
CELL_144,47,1,[ 2017-11-23 13:30:14 ~ 2017-11-23 13:45:00;  ]
CELL_12,44,2,[ 2017-11-23 08:19:15 ~ 2017-11-23 08:31:29; 2017-11-23 19:51:16 ~ 2017-11-23 19:53:48;  ]
CELL_140,25,4,[ 2017-11-23 09:16:43 ~ 2017-11-23 09:31:43; 2017-11-23 11:58:57 ~ 2017-11-23 11:58:57; 2017-11-23 13:46:18 ~ 2017-11-23 13:48:06; 2017-11-23 15:59:18 ~ 2017-11-23 15:59:18;  ]
CELL_41,16,1,[ 2017-11-23 08:39:43 ~ 2017-11-23 08:42:33;  ]
CELL_118,14,2,[ 2017-11-23 08:59:44 ~ 2017-11-23 09:00:23; 2017-11-23 19:19:26 ~ 2017-11-23 19:20:00;  ]
CELL_138,13,2,[ 2017-11-23 09:14:45 ~ 2017-11-23 09:15:51; 2017-11-23 14:47:55 ~ 2017-11-23 16:37:50;  ]
CELL_104,12,2,[ 2017-11-23 08:56:58 ~ 2017-11-23 08:57:16; 2017-11-23 19:22:34 ~ 2017-11-23 19:22:53;  ]
CELL_100,12,2,[ 2017-11-23 08:54:55 ~ 2017-11-23 08:56:59; 2017-11-23 19:22:50 ~ 2017-11-23 19:23:29;  ]
CELL_122,12,2,[ 2017-11-23 09:00:16 ~ 2017-11-23 09:00:39; 2017-11-23 19:19:25 ~ 2017-11-23 19:19:26;  ]
CELL_40,11,2,[ 2017-11-23 08:39:14 ~ 2017-11-23 08:39:43; 2017-11-23 19:35:57 ~ 2017-11-23 19:38:57;  ]
CELL_134,11,2,[ 2017-11-23 09:10:08 ~ 2017-11-23 09:13:43; 2017-11-23 19:04:40 ~ 2017-11-23 19:05:26;  ]
CELL_4,11,1,[ 2017-11-23 08:12:47 ~ 2017-11-23 08:15:32;  ]
CELL_135,11,2,[ 2017-11-23 09:12:12 ~ 2017-11-23 09:12:17; 2017-11-23 19:06:22 ~ 2017-11-23 19:08:25;  ]
CELL_10,11,2,[ 2017-11-23 08:18:28 ~ 2017-11-23 08:30:42; 2017-11-23 19:51:30 ~ 2017-11-23 19:53:45;  ]
CELL_123,11,2,[ 2017-11-23 08:59:47 ~ 2017-11-23 09:00:30; 2017-11-23 19:19:25 ~ 2017-11-23 19:20:04;  ]
CELL_35,10,2,[ 2017-11-23 08:37:22 ~ 2017-11-23 08:38:28; 2017-11-23 19:39:41 ~ 2017-11-23 19:41:46;  ]
CELL_16,10,2,[ 2017-11-23 08:31:29 ~ 2017-11-23 08:31:51; 2017-11-23 19:48:11 ~ 2017-11-23 19:51:52;  ]
CELL_71,10,2,[ 2017-11-23 08:50:10 ~ 2017-11-23 08:50:23; 2017-11-23 19:29:05 ~ 2017-11-23 19:29:30;  ]
CELL_29,9,2,[ 2017-11-23 08:35:12 ~ 2017-11-23 08:35:56; 2017-11-23 19:42:34 ~ 2017-11-23 19:43:46;  ]
CELL_102,9,2,[ 2017-11-23 08:56:33 ~ 2017-11-23 08:56:52; 2017-11-23 19:23:01 ~ 2017-11-23 19:24:54;  ]
CELL_143,9,2,[ 2017-11-23 13:15:54 ~ 2017-11-23 13:49:55; 2017-11-23 19:00:13 ~ 2017-11-23 19:00:59;  ]
CELL_19,8,2,[ 2017-11-23 08:32:10 ~ 2017-11-23 08:33:03; 2017-11-23 19:46:56 ~ 2017-11-23 19:47:31;  ]
CELL_148,7,1,[ 2017-11-23 15:34:02 ~ 2017-11-23 15:52:33;  ]
CELL_24,7,2,[ 2017-11-23 08:34:05 ~ 2017-11-23 08:34:18; 2017-11-23 19:45:24 ~ 2017-11-23 19:45:49;  ]
CELL_2,7,3,[ 2017-11-23 02:38:44 ~ 2017-11-23 02:38:44; 2017-11-23 07:53:42 ~ 2017-11-23 07:53:42; 2017-11-23 20:05:58 ~ 2017-11-23 20:06:48;  ]
CELL_82,7,2,[ 2017-11-23 08:51:52 ~ 2017-11-23 08:52:08; 2017-11-23 19:27:21 ~ 2017-11-23 19:27:37;  ]
CELL_116,7,2,[ 2017-11-23 08:59:28 ~ 2017-11-23 08:59:33; 2017-11-23 19:20:22 ~ 2017-11-23 19:21:00;  ]
CELL_8,7,2,[ 2017-11-23 08:17:04 ~ 2017-11-23 08:18:00; 2017-11-23 19:55:44 ~ 2017-11-23 19:56:00;  ]
CELL_85,6,1,[ 2017-11-23 08:53:14 ~ 2017-11-23 08:53:35;  ]
CELL_66,6,2,[ 2017-11-23 08:48:48 ~ 2017-11-23 08:49:11; 2017-11-23 19:29:57 ~ 2017-11-23 19:30:14;  ]
CELL_117,6,2,[ 2017-11-23 08:59:32 ~ 2017-11-23 08:59:35; 2017-11-23 19:20:05 ~ 2017-11-23 19:20:26;  ]
CELL_36,6,1,[ 2017-11-23 08:38:54 ~ 2017-11-23 08:39:14;  ]
CELL_9,6,2,[ 2017-11-23 08:18:03 ~ 2017-11-23 08:18:21; 2017-11-23 19:54:58 ~ 2017-11-23 19:55:08;  ]
CELL_157,6,1,[ 2017-11-23 19:20:26 ~ 2017-11-23 19:20:46;  ]
CELL_76,6,1,[ 2017-11-23 08:50:49 ~ 2017-11-23 08:51:08;  ]
CELL_215,5,1,[ 2017-11-23 19:59:32 ~ 2017-11-23 20:00:38;  ]
CELL_70,5,2,[ 2017-11-23 08:49:42 ~ 2017-11-23 08:50:09; 2017-11-23 19:29:29 ~ 2017-11-23 19:29:32;  ]
CELL_171,5,1,[ 2017-11-23 19:25:32 ~ 2017-11-23 19:25:45;  ]
CELL_172,5,1,[ 2017-11-23 19:25:32 ~ 2017-11-23 19:25:34;  ]
CELL_194,5,1,[ 2017-11-23 19:30:19 ~ 2017-11-23 19:30:38;  ]
CELL_196,5,1,[ 2017-11-23 19:39:09 ~ 2017-11-23 19:41:59;  ]
CELL_197,5,1,[ 2017-11-23 19:39:09 ~ 2017-11-23 19:39:16;  ]
CELL_125,5,2,[ 2017-11-23 09:00:41 ~ 2017-11-23 09:00:46; 2017-11-23 19:19:07 ~ 2017-11-23 19:19:19;  ]
CELL_21,5,2,[ 2017-11-23 08:33:04 ~ 2017-11-23 08:33:14; 2017-11-23 19:46:46 ~ 2017-11-23 19:46:55;  ]
CELL_5,5,2,[ 2017-11-23 08:15:47 ~ 2017-11-23 08:16:15; 2017-11-23 19:56:12 ~ 2017-11-23 19:56:22;  ]
CELL_218,5,1,[ 2017-11-23 20:01:16 ~ 2017-11-23 20:04:11;  ]
CELL_80,5,2,[ 2017-11-23 08:51:50 ~ 2017-11-23 08:51:55; 2017-11-23 19:27:41 ~ 2017-11-23 19:27:47;  ]
CELL_124,5,2,[ 2017-11-23 09:00:30 ~ 2017-11-23 09:00:41; 2017-11-23 19:18:56 ~ 2017-11-23 19:18:56;  ]
CELL_160,5,1,[ 2017-11-23 19:21:40 ~ 2017-11-23 19:22:28;  ]
CELL_69,5,2,[ 2017-11-23 08:49:40 ~ 2017-11-23 08:49:42; 2017-11-23 19:29:32 ~ 2017-11-23 19:29:34;  ]
CELL_68,5,2,[ 2017-11-23 08:49:19 ~ 2017-11-23 08:49:37; 2017-11-23 19:29:44 ~ 2017-11-23 19:29:44;  ]
CELL_72,5,2,[ 2017-11-23 08:50:10 ~ 2017-11-23 08:50:10; 2017-11-23 19:29:14 ~ 2017-11-23 19:29:17;  ]
CELL_14,5,1,[ 2017-11-23 08:22:13 ~ 2017-11-23 08:22:37;  ]
CELL_112,5,2,[ 2017-11-23 08:58:35 ~ 2017-11-23 08:58:35; 2017-11-23 19:19:19 ~ 2017-11-23 19:21:18;  ]
CELL_73,5,1,[ 2017-11-23 08:50:23 ~ 2017-11-23 08:50:49;  ]
CELL_107,5,1,[ 2017-11-23 08:57:23 ~ 2017-11-23 08:58:12;  ]
CELL_13,5,2,[ 2017-11-23 08:20:01 ~ 2017-11-23 08:20:31; 2017-11-23 19:50:36 ~ 2017-11-23 19:50:38;  ]
CELL_152,5,1,[ 2017-11-23 19:05:31 ~ 2017-11-23 19:05:47;  ]
CELL_128,5,2,[ 2017-11-23 09:00:56 ~ 2017-11-23 09:00:56; 2017-11-23 19:18:38 ~ 2017-11-23 19:19:06;  ]
CELL_198,4,1,[ 2017-11-23 19:39:11 ~ 2017-11-23 19:42:08;  ]
CELL_127,4,2,[ 2017-11-23 09:00:52 ~ 2017-11-23 09:00:54; 2017-11-23 19:18:53 ~ 2017-11-23 19:18:55;  ]
CELL_101,4,2,[ 2017-11-23 08:54:59 ~ 2017-11-23 08:56:24; 2017-11-23 19:24:52 ~ 2017-11-23 19:24:52;  ]
CELL_126,4,2,[ 2017-11-23 09:00:46 ~ 2017-11-23 09:00:50; 2017-11-23 19:18:56 ~ 2017-11-23 19:18:57;  ]
CELL_109,4,2,[ 2017-11-23 08:58:18 ~ 2017-11-23 08:58:27; 2017-11-23 19:21:25 ~ 2017-11-23 19:21:37;  ]
CELL_158,4,1,[ 2017-11-23 19:22:13 ~ 2017-11-23 19:22:30;  ]
CELL_137,4,1,[ 2017-11-23 09:13:53 ~ 2017-11-23 09:16:12;  ]
CELL_98,4,1,[ 2017-11-23 08:54:28 ~ 2017-11-23 08:54:47;  ]
CELL_22,4,2,[ 2017-11-23 08:33:46 ~ 2017-11-23 08:33:46; 2017-11-23 19:46:12 ~ 2017-11-23 19:46:45;  ]
CELL_23,4,2,[ 2017-11-23 08:33:54 ~ 2017-11-23 08:34:02; 2017-11-23 19:45:48 ~ 2017-11-23 19:46:11;  ]
CELL_170,4,1,[ 2017-11-23 19:25:02 ~ 2017-11-23 19:25:13;  ]
CELL_17,4,2,[ 2017-11-23 08:31:51 ~ 2017-11-23 08:31:53; 2017-11-23 19:48:08 ~ 2017-11-23 19:48:11;  ]
CELL_65,4,1,[ 2017-11-23 08:48:11 ~ 2017-11-23 08:48:23;  ]
CELL_90,4,2,[ 2017-11-23 08:53:42 ~ 2017-11-23 08:53:42; 2017-11-23 19:25:54 ~ 2017-11-23 19:25:55;  ]
CELL_88,4,2,[ 2017-11-23 08:53:36 ~ 2017-11-23 08:53:41; 2017-11-23 19:26:02 ~ 2017-11-23 19:26:03;  ]
CELL_81,4,2,[ 2017-11-23 08:51:50 ~ 2017-11-23 08:51:50; 2017-11-23 19:27:37 ~ 2017-11-23 19:27:41;  ]
CELL_77,4,1,[ 2017-11-23 08:50:50 ~ 2017-11-23 08:51:00;  ]
CELL_94,4,1,[ 2017-11-23 08:54:06 ~ 2017-11-23 08:54:24;  ]
CELL_83,4,2,[ 2017-11-23 08:52:50 ~ 2017-11-23 08:53:05; 2017-11-23 19:26:46 ~ 2017-11-23 19:26:46;  ]
CELL_45,4,1,[ 2017-11-23 08:42:39 ~ 2017-11-23 08:42:44;  ]
CELL_33,4,2,[ 2017-11-23 08:36:35 ~ 2017-11-23 08:36:40; 2017-11-23 19:41:52 ~ 2017-11-23 19:41:52;  ]
CELL_51,4,1,[ 2017-11-23 08:42:51 ~ 2017-11-23 08:43:04;  ]
CELL_60,4,1,[ 2017-11-23 08:45:59 ~ 2017-11-23 08:46:26;  ]
CELL_38,4,1,[ 2017-11-23 08:38:47 ~ 2017-11-23 08:39:07;  ]
CELL_67,4,2,[ 2017-11-23 08:49:10 ~ 2017-11-23 08:49:19; 2017-11-23 19:29:46 ~ 2017-11-23 19:29:46;  ]
CELL_89,4,2,[ 2017-11-23 08:53:42 ~ 2017-11-23 08:53:47; 2017-11-23 19:26:02 ~ 2017-11-23 19:26:13;  ]
CELL_64,4,1,[ 2017-11-23 08:46:55 ~ 2017-11-23 08:47:40;  ]
CELL_84,4,2,[ 2017-11-23 08:53:04 ~ 2017-11-23 08:53:14; 2017-11-23 19:27:04 ~ 2017-11-23 19:27:04;  ]
CELL_86,3,1,[ 2017-11-23 08:53:22 ~ 2017-11-23 08:53:25;  ]
CELL_44,3,1,[ 2017-11-23 08:41:08 ~ 2017-11-23 08:41:19;  ]
CELL_43,3,1,[ 2017-11-23 08:40:22 ~ 2017-11-23 08:42:39;  ]
CELL_42,3,1,[ 2017-11-23 08:39:48 ~ 2017-11-23 08:39:58;  ]
CELL_179,3,1,[ 2017-11-23 19:27:11 ~ 2017-11-23 19:27:16;  ]
CELL_20,3,2,[ 2017-11-23 08:32:36 ~ 2017-11-23 08:32:52; 2017-11-23 19:47:51 ~ 2017-11-23 19:47:51;  ]
CELL_180,3,1,[ 2017-11-23 19:27:21 ~ 2017-11-23 19:27:22;  ]
CELL_53,3,1,[ 2017-11-23 08:43:11 ~ 2017-11-23 08:43:32;  ]
CELL_110,3,2,[ 2017-11-23 08:58:43 ~ 2017-11-23 08:59:05; 2017-11-23 19:22:21 ~ 2017-11-23 19:22:21;  ]
CELL_111,3,2,[ 2017-11-23 08:58:21 ~ 2017-11-23 08:58:21; 2017-11-23 19:21:28 ~ 2017-11-23 19:21:29;  ]
CELL_113,3,2,[ 2017-11-23 08:59:24 ~ 2017-11-23 08:59:28; 2017-11-23 19:20:22 ~ 2017-11-23 19:20:22;  ]
CELL_114,3,1,[ 2017-11-23 08:59:20 ~ 2017-11-23 08:59:24;  ]
CELL_52,3,1,[ 2017-11-23 08:42:56 ~ 2017-11-23 08:43:08;  ]
CELL_18,3,2,[ 2017-11-23 08:32:05 ~ 2017-11-23 08:32:09; 2017-11-23 19:48:07 ~ 2017-11-23 19:48:07;  ]
CELL_185,3,1,[ 2017-11-23 19:27:57 ~ 2017-11-23 19:28:14;  ]
CELL_176,3,1,[ 2017-11-23 19:26:29 ~ 2017-11-23 19:26:38;  ]
CELL_28,3,2,[ 2017-11-23 08:35:11 ~ 2017-11-23 08:35:11; 2017-11-23 19:43:49 ~ 2017-11-23 19:44:27;  ]
CELL_62,3,1,[ 2017-11-23 08:46:38 ~ 2017-11-23 08:46:42;  ]
CELL_139,3,1,[ 2017-11-23 09:16:24 ~ 2017-11-23 09:16:31;  ]
